연번,호선,역명,면적,층수,승강장유형,출입구,환승노선
1,1호선,서울역,10805,B2,섬식,9,"4호선, 공항철도, 경의중앙선"
2,1호선,시청,11317,B2,상대식,7,2호선
3,1호선,종각,10410.24,B2,상대식,7,
4,1호선,종로3가,9311,B2,상대식,8,"3호선, 5호선"
5,1호선,종로5가,10465,B2,상대식,8,
6,1호선,동대문,5490,B2,상대식,6,4호선
7,1호선,신설동,9894.75,5FB2,상대식,4,"2호선, 우이신설선"
8,1호선,제기동,7240,B2,상대식,8,
9,1호선,청량리,8662,B2,상대식,6,"경의중앙선, 경춘선, 수인분당선"
10,1호선,동묘앞,7125,B2,섬식,6,6호선
11,2호선,시청,12561,B3,섬식,5,1호선
12,2호선,을지로입구,10408.66,B2,상대식,9,
13,2호선,을지로3가,8181,B2,상대식,4,3호선
14,2호선,을지로4가,6622,B2,상대식,8,5호선
15,2호선,동대문역사문화공원,6540,B2,상대식,7,"4호선, 5호선"
16,2호선,신당,5762,B2,상대식,4,6호선
17,2호선,상왕십리,7023,B2,상대식,7,
18,2호선,왕십리,9877,B2,상대식,10,"수인분당선, 5호선, 경의중앙선"
19,2호선,한양대,5974,2F,상대식,4,
20,2호선,뚝섬,8384,3F,상대식,8,
21,2호선,성수,10045,3F,복합식,4,2호선
22,2호선,건대입구,6543,3F,상대식,4,7호선
23,2호선,구의,5584,3F,상대식,4,
24,2호선,강변,5077,2F,상대식,4,
25,2호선,잠실나루,4691,2F,상대식,4,
26,2호선,잠실,10332,B2,상대식,9,8호선
27,2호선,신천,7573,B2,상대식,8,
28,2호선,종합운동장,18506,B2,상대식,8,9호선
29,2호선,삼성,6447,B2,섬식,8,
30,2호선,선릉,7396,B2,상대식,6,수인분당선
31,2호선,역삼,8352.89,B3,상대식,8,
32,2호선,강남,6392,B2,상대식,8,신분당선
33,2호선,교대,9312,B2,상대식,11,3호선
34,2호선,서초,8655,B2,상대식,8,
35,2호선,방배,5951,B2,상대식,4,
36,2호선,사당,13006,B2,상대식,8,4호선
37,2호선,낙성대,6502,B2,상대식,8,
38,2호선,서울대입구,6429,B2,섬식,8,
39,2호선,봉천,5234,B2,섬식,6,
40,2호선,신림,7190,B2,섬식,8,신림선
41,2호선,신대방,5821,3F,상대식,4,
42,2호선,구로디지털,5754,3F,상대식,6,
43,2호선,대림,6478,3F,상대식,8,7호선
44,2호선,신도림,19246,B2,복합식,3,"1호선, 2호선"
45,2호선,문래,6213,B2,상대식,7,
46,2호선,영등포구청,7737,B2,상대식,5,5호선
47,2호선,당산,6385,3F,상대식,6,9호선
48,2호선,합정,13008,B2,상대식,4,6호선
49,2호선,홍대입구,7721,B2,섬식,4,"공항철도, 경의중앙선"
50,2호선,신촌,7620,B2,상대식,8,
51,2호선,이대,7436,B2,섬식,6,
52,2호선,아현,6467,B2,상대식,4,
53,2호선,충정로,7563.95,B3,섬식,6,5호선
54,2호선,용답,1423,2F,상대식,2,
55,2호선,용두,2203,1F,상대식,1,
56,2호선,신답,6090,B1,상대식,5,
