전철역코드,외부코드,전철역명,호선,정류장명,정류장ID,(X)좌표,(Y)좌표
1958,310,대화,3,예비군훈련장,36262,177627,464279
1958,310,대화,3,대화역,36281,177715,464099
1958,310,대화,3,대화역,36601,177718,464073
1805,150,송내,1,송내역,46039,178169,443269
1805,150,송내,1,송내역,46731,178200,443181
1805,150,송내,1,송내역,46086,178268,443268
1957,311,주엽,3,주엽역,36700,178853,463443
1957,311,주엽,3,주엽역,36699,178947,463403
1822,149,중동,1,부천여고,46090,179036,443255
1822,149,중동,1,부천여고,46087,179088,443229
1956,312,정발산,3,일산동구청,36695,180081,462037
1956,312,정발산,3,일산동구청,36694,180124,461983
1955,313,마두,3,마두역,36731,180374,461401
1955,313,마두,3,마두역,36685,180393,461379
1804,148,부천,1,부천역국민은행앞,46008,180696,442991
1954,314,백석,3,백석역,36683,181139,460529
1954,314,백석,3,백석역B,36184,181295,460407
1954,314,백석,3,시외버스터미널백석역,36175,181370,460498
1954,314,백석,3,시외버스터미널,36176,181381,460534
2513,512,김포공항,5,한국공항공사이마트공항점,16411,182203,451463
2513,512,김포공항,5,한국공항공사이마트공항점,16410,182240,451460
4102,902,김포공항,9,김포공항국내선,16817,182613,451180
2512,511,개화산,5,방화도시개발11단지,16166,182727,452371
2512,511,개화산,5,개화산전철역,16287,182872,452566
2512,511,개화산,5,개화산전철역,16288,182872,452593
4103,903,공항시장,9,공항시장,16118,183096,451418
4103,903,공항시장,9,송정역,16117,183129,451372
4103,903,공항시장,9,공항시장,16119,183135,451476
4103,903,공항시장,9,송정전철역,16816,183236,451360
4103,903,공항시장,9,공항동국민은행,16120,183300,451610
4103,903,공항시장,9,기업은행공항동지점,16121,183339,451712
1953,315,대곡,3,대곡역,35621,183200,459104
1953,315,대곡,3,대곡역,35620,183401,459092
2514,513,송정,5,제과점앞,16326,183198,451234
2514,513,송정,5,송정전철역,16816,183236,451360
2514,513,송정,5,송정역,16116,183243,451317
2514,513,송정,5,송정전철역,16819,183301,451309
2514,513,송정,5,송정역,16377,183337,451347
2511,510,방화,5,방화전철역,16131,183427,453062
2511,510,방화,5,방화전철역,16130,183449,453038
2511,510,방화,5,방화도시7단지국립국어원,16133,183504,453300
2511,510,방화,5,방화동삼익아파트,16314,183510,453068
2511,510,방화,5,방화3동주민센터,16313,183511,453234
2511,510,방화,5,방화동삼익아파트,16311,183521,453047
2511,510,방화,5,방화3동주민센터국립국어원,16132,183528,453303
2511,510,방화,5,방화3동주민센터,16312,183532,453251
4104,904,신방화,9,세민정보고등학교,16306,183781,452180
4104,904,신방화,9,세민정보고등학교,16305,183826,452222
1821,145,온수,1,온수동종점,17289,184199,443586
1821,145,온수,1,온수동종점,17295,184200,443629
1821,145,온수,1,온수동종점,17290,184214,443624
1821,145,온수,1,온수역,17283,184415,443721
1821,145,온수,1,온수역,17184,184420,443723
1821,145,온수,1,온수역,17284,184424,443708
1821,145,온수,1,온수역,17185,184431,443710
2752,750,온수,7,온수동종점,17289,184199,443586
2752,750,온수,7,온수동종점,17295,184200,443629
2752,750,온수,7,온수동종점,17290,184214,443624
2752,750,온수,7,온수역,17283,184415,443721
2752,750,온수,7,온수역,17184,184420,443723
2752,750,온수,7,온수역,17284,184424,443708
2752,750,온수,7,온수역,17185,184431,443710
1952,316,화정,3,별빛마을8단지,35400,185021,459367
1952,316,화정,3,화정전철역롯데마트,35386,185054,459286
1952,316,화정,3,별빛부영아파트,35390,185056,459278
1952,316,화정,3,화정전철역,35601,185058,459569
1952,316,화정,3,덕양구청,35612,185101,459753
2517,516,우장산,5,우장산전철역,16214,185521,450049
2517,516,우장산,5,화곡중고등학교,16211,185521,449758
2517,516,우장산,5,화곡중고등학교,16212,185553,449781
2517,516,우장산,5,우장산전철역,16213,185555,449987
2517,516,우장산,5,양서1단지화곡제2주공,16352,185591,449851
2517,516,우장산,5,양서1단지화곡제2단지,16364,185660,449834
2516,515,발산,5,우장산현대타운,16218,185643,450823
2516,515,발산,5,발산역7번출구,16393,185674,450946
2516,515,발산,5,등촌3동그랜드백화점,16219,185737,451185
2516,515,발산,5,등촌3동그랜드백화점,16220,185775,451200
2516,515,발산,5,그랜드마트발산점,16337,185790,451145
2516,515,발산,5,원당사거리발산역,16112,185800,450986
2516,515,발산,5,발산역원당사거리,16325,185806,451114
2516,515,발산,5,발산전철역,16815,185822,451024
2516,515,발산,5,원당사거리발산역,16111,185829,451023
2751,749,천왕,7,천왕역,17202,185767,442950
2751,749,천왕,7,천왕역,17201,185768,442980
2751,749,천왕,7,오류2동주민센터,17204,185820,443074
2751,749,천왕,7,오류2동주민센터,17203,185830,443256
2751,749,천왕,7,농협사거리,17843,185854,442791
2518,517,화곡,5,화곡전철역,16147,185760,449075
2518,517,화곡,5,화곡전철역,16208,185764,449287
2518,517,화곡,5,화곡전철역,16207,185834,449249
2518,517,화곡,5,현대주유소,16205,185946,449033
2518,517,화곡,5,현대주유소,16206,185961,449066
4106,906,양천향교,9,양천초등학교,16270,185871,452168
4106,906,양천향교,9,양천초등학교,16269,185897,452187
4106,906,양천향교,9,가양사거리,16309,185930,451942
4106,906,양천향교,9,가양사거리,16333,185943,452014
4106,906,양천향교,9,양천향교입구,16226,185996,452313
4106,906,양천향교,9,가양사거리휴먼빌아파트,16225,186006,452177
4106,906,양천향교,9,등촌주공12단지,16356,186099,451879
4106,906,양천향교,9,가양한강타운아파트,16227,186158,452334
4106,906,양천향교,9,씨제이주식회사,16268,186199,451946
1951,317,원당,3,원당전철역,35071,186178,461458
1951,317,원당,3,원당전철역,35070,186222,461491
260,234-4,까치산,2,화곡동백구사,16193,186103,448137
260,234-4,까치산,2,유림아파트,16189,186236,447885
260,234-4,까치산,2,유림아파트,16188,186255,447903
260,234-4,까치산,2,까치산전철역,16192,186408,448098
260,234-4,까치산,2,까치산전철역,16191,186481,448022
260,234-4,까치산,2,화곡전화국,16186,186524,447847
260,234-4,까치산,2,화곡전화국,16187,186556,447845
260,234-4,까치산,2,화곡8동주민센터,16185,186640,447915
260,234-4,까치산,2,화곡8동주민센터,16184,186729,447939
2519,518,까치산,5,까치산전철역,16192,186408,448098
2519,518,까치산,5,까치산전철역,16191,186481,448022
2519,518,까치산,5,화곡전화국,16186,186524,447847
2519,518,까치산,5,화곡전화국,16187,186556,447845
2519,518,까치산,5,화곡8동주민센터,16185,186640,447915
249,234-3,신정네거리,2,신정4거리,15211,186876,446949
249,234-3,신정네거리,2,신정네거리역,15303,186991,446724
249,234-3,신정네거리,2,신정네거리역,15251,187024,446722
249,234-3,신정네거리,2,신정네거리역,15280,187045,446881
249,234-3,신정네거리,2,신정네거리역,15250,187054,446853
249,234-3,신정네거리,2,신정4동경서농협,15283,187191,446902
4107,907,가양,9,등촌3동주공8단지아파트,16302,186988,451327
4107,907,가양,9,가양동우성아파트,16260,187100,451383
4107,907,가양,9,가양동우성아파트,16259,187100,451339
4107,907,가양,9,가양3동도시개발8단지아파트,16134,187263,451380
4107,907,가양,9,현대프린스텔,16257,187311,451202
4107,907,가양,9,가양3동현대아파트,16258,187332,451224
2750,748,광명사거리,7,한진아파트,38025,187022,441994
2750,748,광명사거리,7,광명4동한진아파트,38021,187062,442030
2750,748,광명사거리,7,광명사거리,38026,187088,442174
2750,748,광명사거리,7,광명사거리역,38008,187139,442307
2750,748,광명사거리,7,광명사거리,38022,187147,442201
2750,748,광명사거리,7,국민은행광명지점,38016,187165,442300
2750,748,광명사거리,7,광명초교,38011,187215,442439
2750,748,광명사거리,7,광명시장,38018,187226,442208
2750,748,광명사거리,7,광명사거리역,38609,187238,442166
2750,748,광명사거리,7,광명사거리역,38610,187294,442185
2520,519,신정,5,신정역은행정역,15274,187123,447254
2520,519,신정,5,신정역은행정역,15287,187128,447278
1801,143,개봉,1,경인중학교,17166,187291,444146
1801,143,개봉,1,개봉역,17233,187301,443839
1801,143,개봉,1,개봉역,17234,187317,443814
1801,143,개봉,1,개봉역,17871,187336,443811
1801,143,개봉,1,개봉역,17872,187338,443841
4108,908,증미,9,강서소방서이마트,16256,187784,450870
4108,908,증미,9,이마트강서소방서,16255,187865,450867
2521,520,목동,5,목동역목동오거리,15285,187874,447400
2521,520,목동,5,목동역목동오거리,15272,187901,447382
2521,520,목동,5,목동역홍익병원,15284,187973,447631
2521,520,목동,5,목동역,15691,188004,447333
2521,520,목동,5,목동역홍익병원,15160,188011,447553
2521,520,목동,5,진명여고,15270,188031,447239
2521,520,목동,5,목동역,15692,188043,447330
2521,520,목동,5,진명여고,15258,188077,447175
2521,520,목동,5,목동역,15254,188119,447371
248,234-2,양천구청,2,목동12단지13단지사잇길,15187,187899,446011
248,234-2,양천구청,2,목동1213단지사잇길,15186,187919,446020
248,234-2,양천구청,2,양천구민체육센타,15195,188000,446243
248,234-2,양천구청,2,양천구청역,15192,188012,445877
248,234-2,양천구청,2,양천구청역,15209,188198,445934
4109,909,등촌,9,영일고등학교강서도서관,16173,187927,449955
4109,909,등촌,9,SC제일은행강서도서관,15128,187978,450033
4109,909,등촌,9,강서보건소,15684,188269,450011
2749,747,철산,7,광명경찰서철산역,38121,188193,441732
2749,747,철산,7,철산역,38611,188216,441685
2749,747,철산,7,철산역,38125,188250,441860
2749,747,철산,7,철산역,38612,188254,441678
2749,747,철산,7,철산역,38109,188257,441664
2749,747,철산,7,철산역,38107,188346,441844
2749,747,철산,7,광명경찰서,38110,188464,441612
2749,747,철산,7,은행앞,38119,188491,441901
2749,747,철산,7,광명사회체육센터,38118,188517,441960
4110,910,염창,9,도시가스사업소,15130,188931,449702
4110,910,염창,9,염창동우체국,16101,188969,449750
4110,910,염창,9,염창동도시가스,15683,189117,449711
4110,910,염창,9,염창동도시가스,16810,189125,449758
2522,521,오목교,5,목동대학학원,15167,188814,447283
2522,521,오목교,5,오목공원,15162,188845,447449
2522,521,오목교,5,오목교역청학스포츠타운,15261,188980,447140
2522,521,오목교,5,오목교역청학스포츠타운,15170,189008,447131
2522,521,오목교,5,오목교역,15173,189124,447190
2522,521,오목교,5,오목교역,15168,189124,447227
1701,141,구로,1,구로기계공구상가,17146,189330,444913
1701,141,구로,1,구로공구상가,17897,189353,444889
1701,141,구로,1,구로역,17155,189581,445054
1701,141,구로,1,구로역,17154,189603,445021
1701,141,구로,1,애경백화점구로역,17256,189624,444711
1702,P142,가산디지털단지,1,가산디지털단지역,18106,189473,442451
1702,P142,가산디지털단지,1,가산디지털단지역,18107,189487,442480
1702,P142,가산디지털단지,1,가산디지털단지역,18209,189642,442420
1702,P142,가산디지털단지,1,가산디지털단지역,18226,189664,442453
1702,P142,가산디지털단지,1,국민연금관리공단앞,18208,189755,442372
1702,P142,가산디지털단지,1,가산동종점,18753,189790,442579
1702,P142,가산디지털단지,1,가산동기점,18754,189802,442564
2748,746,가산디지털단지,7,가산디지털단지역,18106,189473,442451
2748,746,가산디지털단지,7,가산디지털단지역,18107,189487,442480
2748,746,가산디지털단지,7,가산디지털단지역,18209,189642,442420
2748,746,가산디지털단지,7,가산디지털단지역,18226,189664,442453
2748,746,가산디지털단지,7,국민연금관리공단앞,18208,189755,442372
2748,746,가산디지털단지,7,가산동종점,18753,189790,442579
2748,746,가산디지털단지,7,가산동기점,18754,189802,442564
4111,911,신목동,9,목원초등학교,15142,189497,449236
4111,911,신목동,9,용왕산,15144,189529,449615
4111,911,신목동,9,용왕산,15143,189624,449543
4111,911,신목동,9,목동소방파출소,15360,189724,449266
247,234-1,도림천,2,신도림자동차학원,17830,189530,445878
247,234-1,도림천,2,우성3차아파트상가,17291,189676,445979
247,234-1,도림천,2,현대3차아파트,19428,189829,446320
247,234-1,도림천,2,진주두래아파트,19427,189853,446325
2747,745,남구로,7,구로4동주민센터,17134,189888,442973
2747,745,남구로,7,남구로역,17133,189937,442771
2747,745,남구로,7,남구로역,17121,189969,442895
2747,745,남구로,7,남구로역,17245,190007,442842
2747,745,남구로,7,남구로역,17120,190008,442909
2747,745,남구로,7,학원앞,17252,190136,443136
2747,745,남구로,7,구로종합사회복지관,17119,190193,443159
234,234,신도림,2,신도림역,17002,190191,445561
234,234,신도림,2,신도림역,17834,190242,445699
234,234,신도림,2,신도림역,17001,190269,445625
234,234,신도림,2,신도림역,17833,190275,445702
234,234,신도림,2,신도림역,17101,190489,445245
234,234,신도림,2,문래동남성아파트,19001,190526,445771
234,234,신도림,2,문래동남성아파트,19002,190545,445798
1007,140,신도림,1,신도림역,17002,190191,445561
1007,140,신도림,1,신도림역,17834,190242,445699
1007,140,신도림,1,신도림역,17001,190269,445625
1007,140,신도림,1,신도림역,17833,190275,445702
1007,140,신도림,1,문래동남성아파트,19001,190526,445771
4112,912,선유도,9,한신아파트앞,19210,190460,448831
4112,912,선유도,9,한신아파트,19211,190464,448794
4112,912,선유도,9,당산초등학교앞,19220,190686,448834
4112,912,선유도,9,롯데제과,19212,190757,448613
4112,912,선유도,9,롯데제과,19213,190771,448638
1950,318,삼송,3,삼송동전철역,35103,190628,461518
1950,318,삼송,3,삼송전철역,35120,190653,461542
1950,318,삼송,3,삼송동차고지,35480,190784,461487
235,235,문래,2,문래역,19318,190653,446360
235,235,문래,2,문래역,19193,190656,446625
235,235,문래,2,문래역,19192,190659,446643
235,235,문래,2,문래자이아파트,19305,190689,446374
235,235,문래,2,문래역홈플러스,19669,190747,446679
233,233,대림,2,대림역,17115,190628,443543
233,233,대림,2,대림역,17881,190664,443778
233,233,대림,2,대림역,19839,190703,443924
233,233,대림,2,대림역,19270,190830,443698
233,233,대림,2,대림역,19264,190859,443686
236,236,영등포구청,2,영등포구청,19169,190843,447336
236,236,영등포구청,2,영등포구청,19168,190891,447424
2746,744,대림,7,대림역,17115,190628,443543
2746,744,대림,7,대림역,17881,190664,443778
2746,744,대림,7,대림역,19839,190703,443924
2746,744,대림,7,대림역,19270,190830,443698
2746,744,대림,7,대림역,19264,190859,443686
2746,744,대림,7,대동초등학교,19271,191043,443868
2524,523,영등포구청,5,현대아파트,19167,190823,447074
2524,523,영등포구청,5,영등포구청,19169,190843,447336
2524,523,영등포구청,5,영등포구청,19168,190891,447424
232,232,구로디지털단지,2,구로디지털단지역,17229,191303,442683
232,232,구로디지털단지,2,구로디지털단지역,21001,191313,442630
232,232,구로디지털단지,2,구로디지털단지역환승센터,17014,191337,442819
232,232,구로디지털단지,2,구로디지털단지역,17013,191357,442742
232,232,구로디지털단지,2,구로디지털단지역,21248,191405,442713
237,237,당산,2,당산역,19172,191204,448368
237,237,당산,2,당산역,19825,191222,448358
237,237,당산,2,당산역,19177,191239,448156
237,237,당산,2,당산역,19178,191288,448166
237,237,당산,2,당산역,19176,191377,448383
237,237,당산,2,당산동삼성래미안아파트,19174,191462,448174
237,237,당산,2,당산동삼성래미안아파트,19175,191480,448197
237,237,당산,2,당산역,19826,191514,448139
2619,618,디지털미디어시티,6,수색전철역,14296,191148,452856
2619,618,디지털미디어시티,6,수색전철역6호선앞,12007,191212,453281
2619,618,디지털미디어시티,6,수색전철역,12749,191220,453307
2619,618,디지털미디어시티,6,수색전철역6호선앞,12310,191236,453296
2619,618,디지털미디어시티,6,수색전철역6호선앞,12319,191283,453200
2619,618,디지털미디어시티,6,수색전철역6호선앞,12008,191296,453227
4113,913,당산,9,당산역,19172,191204,448368
4113,913,당산,9,당산역,19825,191222,448358
4113,913,당산,9,당산역,19177,191239,448156
4113,913,당산,9,당산역,19178,191288,448166
4113,913,당산,9,당산역,19176,191377,448383
4113,913,당산,9,당산동삼성래미안아파트,19174,191462,448174
4113,913,당산,9,당산동삼성래미안아파트,19175,191480,448197
4113,913,당산,9,당산역,19826,191514,448139
1704,P145,석수,1,석수역,57059,191395,437274
1704,P145,석수,1,석수역,18170,191444,437360
1704,P145,석수,1,석수역,18771,191446,437318
2621,620,마포구청,6,마포구청마포장애인복지관,14102,191327,451717
2621,620,마포구청,6,마포구청역,14195,191364,451422
2621,620,마포구청,6,마포구청성산자동차검사소,14101,191378,451716
2621,620,마포구청,6,마포구청역,14194,191402,451475
2621,620,마포구청,6,월드컵경기장입구,14815,191415,451440
2621,620,마포구청,6,월드컵경기장입구,14816,191428,451486
2525,524,영등포시장,5,영등포시장,19120,191584,446875
2525,524,영등포시장,5,영등포시장전철역,19824,191584,446891
2525,524,영등포시장,5,신화병원,19121,191618,447237
2525,524,영등포시장,5,영등포시장전철역,19820,191620,446921
2525,524,영등포시장,5,영등포시장,19104,191621,446939
2525,524,영등포시장,5,신화병원,19122,191652,447277
1006,139,영등포,1,영등포역,19005,191658,446291
1006,139,영등포,1,신세계백화점,19821,191685,446434
1006,139,영등포,1,영등포역,19300,191687,446417
1006,139,영등포,1,신세계백화점,19112,191712,446457
1006,139,영등포,1,신세계백화점,19111,191725,446428
1006,139,영등포,1,영등포역,19006,191783,446355
1006,139,영등포,1,영등포역후문,19331,191866,446141
1006,139,영등포,1,영등포역,19819,191878,446371
1006,139,영등포,1,영등포역,19114,191890,446376
1705,P146,관악,1,관악역,57055,191967,435623
1705,P146,관악,1,관악역,57048,192057,435602
2745,743,신풍,7,신길주유소,19248,191900,444336
2745,743,신풍,7,신풍역,19241,191990,444617
2745,743,신풍,7,신풍역신길6동사무소,19308,192025,444432
2745,743,신풍,7,신풍역,19249,192051,444661
2745,743,신풍,7,우성2차아파트,19363,192106,444425
2618,617,증산,6,증산역증산동주민센터,12364,191993,453809
2618,617,증산,6,증산역,12748,191997,453815
2618,617,증산,6,증산역증산동주민센터,12174,192024,453800
2618,617,증산,6,증산역,12747,192031,453805
2618,617,증산,6,연서중학교입구,12423,192207,454076
2622,621,망원,6,성산시장입구,14250,191919,450897
2622,621,망원,6,성산시장입구,14251,191956,450905
2622,621,망원,6,기업은행서교동지점(최규하대통령가옥),14249,192128,450603
2622,621,망원,6,기업은행서교동지점(최규하대통령가옥),14248,192179,450593
231,231,신대방,2,신대방역,20208,192241,443133
231,231,신대방,2,신대방역,21225,192243,442996
231,231,신대방,2,신대방역,20207,192246,443114
231,231,신대방,2,신대방역,21224,192307,443024
238,238,합정,2,양화진성지공원입구,14216,192235,449898
238,238,합정,2,홀트아동복지회,14218,192241,449952
238,238,합정,2,합정역,14245,192277,450144
238,238,합정,2,합정역,14244,192328,450084
238,238,합정,2,합정역,14119,192429,449905
238,238,합정,2,합정역,14813,192436,450084
238,238,합정,2,합정역,14120,192457,449928
238,238,합정,2,합정역,14814,192469,450038
238,238,합정,2,합정역,14220,192518,450085
238,238,합정,2,합정역,14219,192545,450179
2617,616,새절,6,신사초등학교,12161,192305,454874
2617,616,새절,6,새절역,12745,192355,454627
2617,616,새절,6,새절역숭실고입구,12169,192358,454633
2617,616,새절,6,신사초등학교,12158,192366,454850
2617,616,새절,6,새절역숭실고입구,12176,192407,454677
2617,616,새절,6,새절역,12746,192409,454686
2617,616,새절,6,응암오거리,12419,192582,454596
2623,622,합정,6,양화진성지공원입구,14216,192235,449898
2623,622,합정,6,홀트아동복지회,14218,192241,449952
2623,622,합정,6,합정역,14245,192277,450144
2623,622,합정,6,합정역,14244,192328,450084
2623,622,합정,6,합정역,14119,192429,449905
2623,622,합정,6,합정역,14813,192436,450084
2623,622,합정,6,합정역,14120,192457,449928
2623,622,합정,6,합정역,14814,192469,450038
2623,622,합정,6,합정역,14220,192518,450085
2623,622,합정,6,합정역,14219,192545,450179
2611,610,응암,6,응암역신사오거리,12131,192494,455473
2611,610,응암,6,응암역신사오거리,12130,192505,455503
2611,610,응암,6,응암역,12743,192509,455353
2611,610,응암,6,응암역신사오거리,12167,192515,455381
2611,610,응암,6,응암역신사오거리,12178,192549,455401
2611,610,응암,6,응암역,12744,192549,455377
2611,610,응암,6,새서울의원앞,12209,192570,455670
1032,138,신길,1,신길역,19279,192477,446555
1032,138,신길,1,신길역,19225,192668,446370
