연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
1,1,150,서울역(1),1418813,1472401,1827089,1841712,1841724,1904825,1620121,1558341,1594971,1875753,2120803,1982088
2,1,151,시청(1),746651,748663,954481,955202,902354,964036,855752,804201,808826,912079,1063899,1020463
3,1,152,종각,1241008,1276854,1598997,1572365,1522428,1620980,1406282,1315179,1283699,1457135,1683022,1599339
4,1,153,종로3가(1),784896,851236,1084476,1059282,1053215,1071181,958835,938568,944294,1080723,1107875,1032603
5,1,154,종로5가,848774,861209,1100841,1071587,1057283,1089805,970424,918271,939937,1055802,1078896,1051190
6,1,155,동대문(1),410367,421973,518941,516203,534078,522532,469495,441862,472868,514705,521824,494419
7,1,156,신설동(1),498401,497093,619630,612162,585930,611212,561221,530637,544073,586869,622881,596007
8,1,157,제기동,712902,705649,856855,840817,803150,814104,736934,728297,788818,826413,829534,781183
9,1,158,청량리,815187,819388,984832,971438,954219,957590,871740,852498,883936,947192,950819,917029
10,1,159,동묘앞(1),363357,379475,466118,466145,473496,448180,382247,388988,427375,475290,438100,399144
11,2,201,시청(2),714834,706374,878605,858597,776103,856721,764298,719773,693283,765079,908642,885055
12,2,202,을지로입구,1255967,1237354,1514215,1483634,1384814,1511691,1336645,1267707,1244157,1366571,1562018,1644173
13,2,203,을지로3가(2),651334,648186,812443,809693,774771,851351,742967,697225,675958,755996,882965,875304
14,2,204,을지로4가(2),400881,379149,466650,460805,434689,469301,426638,405293,397943,438224,481593,476663
15,2,205,동대문역사문화공원(2),356517,357421,458932,445874,444863,454494,404399,383020,392084,444450,467253,477153
16,2,206,신당(2),456076,455470,561064,549782,543224,545734,498049,481492,488116,538055,558461,555112
17,2,207,상왕십리,459922,452700,567313,560551,548039,569206,514368,492813,493075,540860,576745,572258
18,2,208,왕십리(2),464046,475795,603572,588578,586244,586993,512083,482985,485736,565561,615223,610640
19,2,209,한양대,218784,212443,328930,348445,308624,335154,241221,219161,228669,290187,371516,321688
20,2,210,뚝섬,708710,727536,909069,951797,906202,968465,817779,778459,786681,864916,942793,934278
21,2,211,성수,1185990,1193214,1472683,1454755,1390149,1495352,1366813,1300222,1291566,1408820,1566343,1562032
22,2,212,건대입구(2),1029599,1031697,1309046,1284983,1336501,1298736,1125711,1086716,1112576,1277121,1360984,1326679
23,2,213,구의,736165,721264,875494,864125,845417,869990,804101,767545,766233,835228,895240,886931
24,2,214,강변,884884,952592,1127750,1114022,1138249,1139865,1007784,982878,1025793,1134075,1190427,1132756
25,2,215,잠실나루,428708,418736,533443,528467,503968,537748,475917,457966,458797,507407,549919,523397
26,2,216,잠실(2),1906253,2025556,2457804,2409200,2451901,2468781,2128313,2080066,2100960,2490673,2673491,2700252
27,2,217,잠실새내,634163,637051,781395,773119,771453,783584,705659,669863,671168,752741,811931,794861
28,2,218,종합운동장(2),201334,205934,281801,318255,310902,333056,253748,227414,237786,283936,396005,282584
29,2,219,삼성,1505258,1499225,1922629,1842387,1791731,1932509,1583319,1551274,1513009,1745921,2047041,2064251
30,2,220,선릉,1598927,1533372,1947480,1893601,1762933,1929101,1742164,1629235,1574967,1752356,1992939,1947498
31,2,221,역삼,1584023,1528613,1927373,1899886,1768075,1942688,1723060,1619304,1570556,1733201,2025024,1985942
32,2,222,강남,2435822,2578020,3136550,3023882,2967946,3101270,2796716,2623064,2520847,2819278,3152711,3089897
33,2,223,교대(2),1004382,980869,1248704,1221282,1147290,1231093,1103764,1046044,1029120,1135809,1256576,1216072
34,2,224,서초,623605,622697,785801,788876,745412,800418,694354,658111,646807,730075,832260,795202
35,2,225,방배,500417,485701,666963,625972,600194,619413,521559,495250,525357,592326,657671,607667
36,2,226,사당(2),1073853,1090276,1369599,1341044,1320101,1347153,1165140,1117976,1145756,1328140,1457089,1370838
37,2,227,낙성대,867627,848383,1056340,1039194,1022893,1044540,952972,919410,913034,1010433,1061489,1044038
38,2,228,서울대입구,1472699,1478190,1823297,1784865,1765184,1800252,1640839,1577979,1562712,1746760,1843385,1816146
39,2,229,봉천,749627,726512,903720,893713,867598,891863,814792,779317,778028,848023,888961,875147
40,2,230,신림,2044414,1997247,2429795,2386876,2360061,2401064,2215342,2133096,2112807,2332936,2446093,2449148
41,2,231,신대방,857375,836703,1032517,1035510,1013634,1035274,949345,910523,913330,997122,1046347,1026149
42,2,232,구로디지털단지,1955712,1902158,2392388,2352255,2208522,2348564,2105819,1970312,1936846,2124071,2355630,2323754
43,2,233,대림(2),779054,765579,949929,941602,922364,936592,838058,804689,811799,886943,926918,903296
44,2,234,신도림,1635862,1650988,2048716,2017088,1989167,2030169,1793969,1687060,1702621,1939834,2047564,1979724
45,2,235,문래,694391,688885,859209,854585,820174,864415,771060,722496,717142,793143,883078,863267
46,2,236,영등포구청(2),723626,700094,876123,861218,815155,861779,785660,734934,732157,806309,884416,881311
47,2,237,당산,582529,579508,749638,748797,718426,744142,640415,610270,625216,691630,743419,714936
48,2,238,합정(2),964027,1023121,1253649,1232215,1249241,1282543,1096324,1085218,1082609,1237890,1316411,1295049
49,2,239,홍대입구,1682091,1991001,2331772,2236829,2467733,2398452,1866825,1965352,2029115,2354257,2487550,2517648
50,2,240,신촌,1038074,1105759,1358315,1312085,1349692,1341466,1208774,1164412,1173635,1299467,1386970,1357277
51,2,241,이대,376503,394310,532646,504032,531970,531907,461918,445858,463705,515766,582400,543169
52,2,242,아현,317792,311658,406996,403115,394800,405898,360744,348521,356908,392208,405628,391072
