연번,호선,고유역번호(외부역코드),역명,수송연월,수송인원수
1,1,150,서울역(1),2023-01,2331210
2,1,151,시청(1),2023-01,1150196
3,1,152,종각,2023-01,1841613
4,1,153,종로3가(1),2023-01,1125960
5,1,154,종로5가,2023-01,1159371
6,1,155,동대문(1),2023-01,499310
7,1,156,신설동(1),2023-01,583089
8,1,157,제기동,2023-01,867569
9,1,158,청량리,2023-01,951054
10,1,159,동묘앞(1),2023-01,418740
11,2,201,시청(2),2023-01,956622
12,2,202,을지로입구,2023-01,1828944
13,2,203,을지로3가(2),2023-01,940531
14,2,204,을지로4가(2),2023-01,492496
15,2,205,동대문역사문화공원(2),2023-01,498119
16,2,206,신당(2),2023-01,559030
17,2,207,상왕십리,2023-01,564090
18,2,208,왕십리(2),2023-01,589700
19,2,209,한양대,2023-01,313976
20,2,210,뚝섬,2023-01,941898
21,2,211,성수,2023-01,1673384
22,2,212,건대입구(2),2023-01,1391470
23,2,213,구의,2023-01,897791
24,2,214,강변,2023-01,1204575
25,2,215,잠실나루,2023-01,540900
26,2,216,잠실(2),2023-01,2910345
27,2,217,잠실새내,2023-01,841492
28,2,218,종합운동장(2),2023-01,297390
29,2,219,삼성,2023-01,2035575
30,2,220,선릉,2023-01,1967790
31,2,221,역삼,2023-01,2073128
32,2,222,강남,2023-01,3040570
33,2,223,교대(2),2023-01,1217427
34,2,224,서초,2023-01,815100
35,2,225,방배,2023-01,582360
36,2,226,사당(2),2023-01,1476742
37,2,227,낙성대,2023-01,1051168
38,2,228,서울대입구,2023-01,1767274
39,2,229,봉천,2023-01,896822
40,2,230,신림,2023-01,2203660
41,2,231,신대방,2023-01,991092
42,2,232,구로디지털단지,2023-01,2295937
43,2,233,대림(2),2023-01,931662
44,2,234,신도림,2023-01,2047414
45,2,235,문래,2023-01,881034
46,2,236,영등포구청(2),2023-01,830590
47,2,237,당산,2023-01,688753
48,2,238,합정(2),2023-01,1367375
49,2,239,홍대입구,2023-01,3005148
50,2,240,신촌,2023-01,1489983
51,2,241,이대,2023-01,572478
52,2,242,아현,2023-01,395469
53,2,243,충정로(2),2023-01,370134
54,2,244,용답,2023-01,100648
55,2,245,신답,2023-01,54915
56,2,246,신설동(2),2023-01,154202
57,2,247,도림천,2023-01,56972
58,2,248,양천구청,2023-01,289457
59,2,249,신정네거리,2023-01,438661
60,2,250,용두,2023-01,87430
61,3,309,지축,2023-01,261510
62,3,310,구파발,2023-01,874481
63,3,311,연신내(3),2023-01,1383122
64,3,312,불광(3),2023-01,649375
65,3,313,녹번,2023-01,599309
66,3,314,홍제,2023-01,709396
67,3,315,무악재,2023-01,174916
68,3,316,독립문,2023-01,286876
69,3,317,경복궁,2023-01,917541
70,3,318,안국,2023-01,1054285
71,3,319,종로3가(3),2023-01,446931
72,3,320,을지로3가(3),2023-01,409605
73,3,322,동대입구,2023-01,393420
74,3,323,약수(3),2023-01,511998
75,3,324,금호,2023-01,325754
76,3,325,옥수,2023-01,383258
77,3,326,압구정,2023-01,1509101
78,3,327,신사,2023-01,1362504
