연번,호선,고유역번호(외부역코드),역명,수송연월,환승유입인원수
1,1,150,서울역(1),2023-01,927833
2,1,151,시청(1),2023-01,505103
3,1,152,종각,2023-01,828806
4,1,153,종로3가(1),2023-01,401560
5,1,154,종로5가,2023-01,511397
6,1,155,동대문(1),2023-01,182626
7,1,156,신설동(1),2023-01,219013
8,1,157,제기동,2023-01,376863
9,1,158,청량리,2023-01,396915
10,1,159,동묘앞(1),2023-01,168123
11,2,201,시청(2),2023-01,319093
12,2,202,을지로입구,2023-01,632032
13,2,203,을지로3가(2),2023-01,318938
14,2,204,을지로4가(2),2023-01,143748
15,2,205,동대문역사문화공원(2),2023-01,125057
16,2,206,신당(2),2023-01,176856
17,2,207,상왕십리,2023-01,183653
18,2,208,왕십리(2),2023-01,160021
19,2,209,한양대,2023-01,113642
20,2,210,뚝섬,2023-01,351670
21,2,211,성수,2023-01,637251
22,2,212,건대입구(2),2023-01,370126
23,2,213,구의,2023-01,252482
24,2,214,강변,2023-01,310890
25,2,215,잠실나루,2023-01,162376
26,2,216,잠실(2),2023-01,773611
27,2,217,잠실새내,2023-01,236106
28,2,218,종합운동장(2),2023-01,93001
29,2,219,삼성,2023-01,627483
30,2,220,선릉,2023-01,541427
31,2,221,역삼,2023-01,741942
32,2,222,강남,2023-01,819066
33,2,223,교대(2),2023-01,365730
34,2,224,서초,2023-01,236411
35,2,225,방배,2023-01,164890
36,2,226,사당(2),2023-01,404585
37,2,227,낙성대,2023-01,308358
38,2,228,서울대입구,2023-01,509652
39,2,229,봉천,2023-01,249009
40,2,230,신림,2023-01,634710
41,2,231,신대방,2023-01,296455
42,2,232,구로디지털단지,2023-01,738467
43,2,233,대림(2),2023-01,269537
44,2,234,신도림,2023-01,697788
45,2,235,문래,2023-01,316070
46,2,236,영등포구청(2),2023-01,260564
47,2,237,당산,2023-01,215933
48,2,238,합정(2),2023-01,473406
49,2,239,홍대입구,2023-01,1120418
50,2,240,신촌,2023-01,502468
51,2,241,이대,2023-01,200921
52,2,242,아현,2023-01,115106
53,2,243,충정로(2),2023-01,110941
54,2,244,용답,2023-01,20976
55,2,245,신답,2023-01,9123
56,2,246,신설동(2),2023-01,52937
57,2,247,도림천,2023-01,21493
58,2,248,양천구청,2023-01,104882
59,2,249,신정네거리,2023-01,160166
60,2,250,용두,2023-01,20231
61,3,309,지축,2023-01,99326
62,3,310,구파발,2023-01,314518
63,3,311,연신내(3),2023-01,438177
64,3,312,불광(3),2023-01,216972
65,3,313,녹번,2023-01,186637
66,3,314,홍제,2023-01,239078
67,3,315,무악재,2023-01,59474
68,3,316,독립문,2023-01,97712
69,3,317,경복궁,2023-01,340613
70,3,318,안국,2023-01,416811
71,3,319,종로3가(3),2023-01,185094
72,3,320,을지로3가(3),2023-01,121570
73,3,322,동대입구,2023-01,166146
74,3,323,약수(3),2023-01,165788
75,3,324,금호,2023-01,108132
76,3,325,옥수,2023-01,141126
77,3,326,압구정,2023-01,630416
78,3,327,신사,2023-01,564894
79,3,328,잠원,2023-01,67726
80,3,329,고속터미널(3),2023-01,714173
81,3,330,교대(3),2023-01,135965
82,3,331,남부터미널,2023-01,590567
83,3,332,양재,2023-01,679372
84,3,333,매봉,2023-01,209852
85,3,334,도곡,2023-01,73773
86,3,335,대치,2023-01,173555
87,3,336,학여울,2023-01,32270
88,3,337,대청,2023-01,136001
89,3,338,일원,2023-01,156578
90,3,339,수서,2023-01,267196
91,3,340,가락시장(3),2023-01,112172
92,3,341,경찰병원,2023-01,127360
93,3,342,오금(3),2023-01,64100
94,4,409,당고개,2023-01,103175
95,4,410,상계,2023-01,239687
96,4,411,노원(4),2023-01,221735
97,4,412,창동,2023-01,410154
98,4,413,쌍문,2023-01,386429
99,4,414,수유,2023-01,501838
100,4,415,미아,2023-01,194439
101,4,416,미아사거리,2023-01,368803
102,4,417,길음,2023-01,289433
103,4,418,성신여대입구,2023-01,268412
104,4,419,한성대입구,2023-01,199538
105,4,420,혜화,2023-01,619196
106,4,421,동대문(4),2023-01,280921
107,4,422,동대문역사문화공원(4),2023-01,132821
108,4,423,충무로(4),2023-01,351211
109,4,424,명동,2023-01,465442
110,4,425,회현,2023-01,429435
111,4,426,서울역(4),2023-01,322161
112,4,427,숙대입구,2023-01,196082
113,4,428,삼각지(4),2023-01,93370
114,4,429,신용산,2023-01,309557
115,4,430,이촌,2023-01,194767
116,4,431,동작,2023-01,25077
117,4,432,이수(총신대입구),2023-01,410910
118,4,433,사당(4),2023-01,332879
119,4,434,남태령,2023-01,21857
120,5,2511,방화,2023-01,80873
121,5,2512,개화산,2023-01,68209
122,5,2513,김포공항(5),2023-01,83393
123,5,2514,송정,2023-01,57349
124,5,2515,마곡,2023-01,118068
125,5,2516,발산,2023-01,250577
126,5,2517,우장산,2023-01,168777
127,5,2518,화곡,2023-01,328681
128,5,2519,까치산(5),2023-01,412748
129,5,2520,신정,2023-01,139057
130,5,2521,목동,2023-01,235727
131,5,2522,오목교,2023-01,312739
132,5,2523,양평(5),2023-01,90936
133,5,2524,영등포구청(5),2023-01,23742
134,5,2525,영등포시장,2023-01,124397
135,5,2526,신길(5),2023-01,50240
136,5,2527,여의도(5),2023-01,386179
137,5,2528,여의나루,2023-01,185233
138,5,2529,마포,2023-01,231910
139,5,2530,공덕(5),2023-01,181556
140,5,2531,애오개,2023-01,97048
141,5,2532,충정로(5),2023-01,50677
142,5,2533,서대문,2023-01,266003
143,5,2534,광화문,2023-01,412299
144,5,2535,종로3가(5),2023-01,151609
145,5,2536,을지로4가(5),2023-01,40636
146,5,2537,동대문역사문화공원(5),2023-01,38056
147,5,2538,청구(5),2023-01,40169
148,5,2539,신금호,2023-01,98113
149,5,2540,행당,2023-01,108831
150,5,2541,왕십리(5),2023-01,27996
151,5,2542,마장,2023-01,76542
152,5,2543,답십리,2023-01,231419
153,5,2544,장한평,2023-01,314819
154,5,2545,군자(5),2023-01,143651
155,5,2546,아차산,2023-01,211273
156,5,2547,광나루,2023-01,160783
157,5,2548,천호(5),2023-01,203115
158,5,2549,강동,2023-01,277391
159,5,2550,길동,2023-01,112045
160,5,2551,굽은다리,2023-01,122712
161,5,2552,명일,2023-01,109506
162,5,2553,고덕,2023-01,113723
163,5,2554,상일동,2023-01,187120
164,5,2555,둔촌동,2023-01,130677
165,5,2556,올림픽공원(5),2023-01,52933
166,5,2557,방이,2023-01,98608
167,5,2558,오금(5),2023-01,32656
168,5,2559,개롱,2023-01,90236
169,5,2560,거여,2023-01,147269
170,5,2561,마천,2023-01,113421
171,5,2562,강일,2023-01,60645
172,5,2563,미사,2023-01,201497
173,5,2564,하남풍산,2023-01,43080
174,5,2565,하남시청,2023-01,70479
175,5,2566,하남검단산,2023-01,60712
176,6,2611,응암,2023-01,283765
177,6,2612,역촌,2023-01,65067
178,6,2613,불광(6),2023-01,46124
179,6,2614,독바위,2023-01,43399
180,6,2616,구산,2023-01,95341
181,6,2617,새절,2023-01,186996
182,6,2618,증산,2023-01,157160
183,6,2619,디지털미디어시티(6),2023-01,235594
184,6,2620,월드컵경기장,2023-01,55631
185,6,2621,마포구청,2023-01,189877
186,6,2622,망원,2023-01,253278
187,6,2623,합정(6),2023-01,113867
188,6,2624,상수,2023-01,184303
189,6,2625,광흥창,2023-01,116785
190,6,2626,대흥,2023-01,122897
191,6,2627,공덕(6),2023-01,228738
192,6,2628,효창공원앞,2023-01,96394
193,6,2629,삼각지(6),2023-01,68394
194,6,2630,녹사평,2023-01,74894
195,6,2631,이태원,2023-01,195721
196,6,2632,한강진,2023-01,165322
197,6,2633,버티고개,2023-01,37322
198,6,2634,약수(6),2023-01,51271
199,6,2635,청구(6),2023-01,41310
200,6,2636,신당(6),2023-01,104687
201,6,2637,동묘앞(6),2023-01,129086
202,6,2638,창신,2023-01,52146
203,6,2639,보문,2023-01,105410
204,6,2640,안암,2023-01,189191
205,6,2641,고려대,2023-01,137790
206,6,2642,월곡,2023-01,200503
207,6,2643,상월곡,2023-01,100720
208,6,2644,돌곶이,2023-01,163273
209,6,2645,석계(6),2023-01,228647
210,6,2646,태릉입구(6),2023-01,82949
211,6,2647,화랑대,2023-01,161281
212,6,2648,봉화산,2023-01,154136
213,7,2711,장암,2023-01,12343
214,7,2712,도봉산(7),2023-01,131095
215,7,2713,수락산,2023-01,175339
216,7,2714,마들,2023-01,186251
217,7,2715,노원(7),2023-01,224262
218,7,2716,중계,2023-01,192403
