연번,역명,평일(일평균),토요일,일요일
1,가락시장,36905 ,24743 ,18296 
2,가산디지털단지,88801 ,50944 ,40324 
3,강남,66743 ,45044 ,29378 
4,강남구청,60699 ,36720 ,24141 
5,강동,5621 ,4057 ,3069 
6,건대입구,105820 ,88139 ,64588 
7,고속터미널,183118 ,155969 ,111961 
8,공덕,66312 ,66312 ,46378 
9,교대,136709 ,93358 ,62139 
10,군자,105055 ,74248 ,55940 
11,김포공항,46553 ,31979 ,23891 
12,까치산,36527 ,23501 ,18221 
13,노원,39432 ,30782 ,21153 
14,논현,50790 ,33612 ,21601 
15,당산,70889 ,56643 ,39631 
16,대림,73025 ,53964 ,39631 
17,도곡,33404 ,21698 ,14013 
18,도봉산,44312 ,33316 ,26084 
19,동대문,54219 ,47855 ,35677 
20,동대문역사문화공원,222447 ,176018 ,126322 
21,동묘앞,50429 ,44344 ,33790 
22,동작,43912 ,35949 ,24534 
23,디지털미디어시티,41577 ,36073 ,23629 
24,모란,20433 ,14432 ,10740 
25,보라매,19530 ,10324 ,7888 
26,보문,20411 ,13455 ,10047 
27,복정,70271 ,44526 ,32604 
28,불광,23935 ,17999 ,13568 
29,사당,153670 ,124673 ,87420 
30,삼각지,50090 ,48281 ,31376 
31,상봉,46277 ,35974 ,27773 
32,서울역,144533 ,125109 ,95080 
33,석계,24797 ,17705 ,13712 
34,석촌,40080 ,28365 ,19865 
35,선릉,96039 ,58312 ,37188 
36,성수,25440 ,16686 ,12939 
37,성신여대입구,25920 ,20504 ,16952 
38,수서,18186 ,11573 ,8215 
39,시청,51980 ,43796 ,30001 
40,신길,49975 ,37000 ,26700 
41,신내,8637 ,6118 ,5092 
42,신당,45697 ,37231 ,25576 
43,신도림,277033 ,225439 ,163217 
44,신림,32022 ,22623 ,17407 
45,신사,45251 ,34309 ,20953 
46,신설동,38871 ,29125 ,23606 
47,약수,57167 ,46051 ,30236 
48,양재,22950 ,15793 ,10494 
49,여의도,59357 ,40801 ,27821 
50,연신내,34812 ,26600 ,18835 
51,영등포구청,82046 ,57268 ,39690 
52,오금,30947 ,19497 ,14505 
53,옥수,31294 ,24336 ,17912 
54,온수,60866 ,44342 ,33420 
55,올림픽공원,22002 ,17699 ,13523 
56,왕십리,176330 ,133349 ,93099 
57,을지로3가,71255 ,55442 ,38207 
58,을지로4가,24640 ,15217 ,9858 
59,이촌,29200 ,26671 ,20025 
60,잠실,107829 ,69405 ,46945 
61,종로3가,154890 ,131204 ,88443 
62,종합운동장,31412 ,27066 ,17760 
63,창동,75537 ,58132 ,45870 
64,천호,86484 ,56719 ,41157 
65,청구,37540 ,28422 ,19714 
66,청량리,23854 ,26005 ,21256 
67,총신대입구(이수),68672 ,57468 ,41393 
68,충무로,142508 ,109847 ,75861 
69,충정로,19750 ,10548 ,7179 
70,태릉입구,50254 ,34757 ,24609 
71,합정,94070 ,87000 ,52556 
72,홍대입구,82464 ,77737 ,58833 
73,효창공원앞,8022 ,7297 ,4850 
