연번,호선,환승역명,환승노선,환승거리,환승소요시간
1,1,서울역,4호선,159,2분13초
2,1,서울역,공항철도,309,4분18초
3,1,서울역,경의중앙선,164,2분17초
4,1,시청,2호선,101,1분24초
5,1,종로3가,3호선,118,1분38초
6,1,종로3가,5호선,312,4분20초
7,1,동대문,4호선,194,2분42초
8,1,동묘앞,6호선,96,1분20초
9,1,신설동,2호선,159,2분13초
10,1,신설동,우이신설선,129,1분48초
11,1,청량리,경의중앙선,165,2분18초
12,1,청량리,경춘선,203,2분49초
13,1,청량리,수인분당선,180,2분30초
14,2,시청,1호선,101,1분24초
15,2,을지로3가,3호선,149,2분4초
16,2,을지로4가,5호선,77,1분4초
17,2,동대문역사문화공원,4호선,45,0분38초
18,2,동대문역사문화공원,5호선,234,3분15초
19,2,신당,6호선,242,3분22초
20,2,왕십리,수인분당선,99,1분23초
21,2,왕십리,5호선,86,1분12초
22,2,왕십리,경의중앙선,50,0분42초
23,2,성수,2호선,23,0분19초
24,2,건대입구,7호선,77,1분4초
25,2,잠실,8호선,190,2분38초
26,2,종합운동장,9호선,94,1분18초
27,2,선릉,수인분당선,81,1분8초
28,2,강남,신분당선,214,2분58초
29,2,교대,3호선,75,1분3초
30,2,사당,4호선,74,1분2초
31,2,신림,신림선,,
32,2,대림,7호선,276,3분50초
33,2,신도림,1호선,81,1분8초
34,2,신도림,2호선,81,1분8초
35,2,영등포구청,5호선,110,1분32초
36,2,당산,9호선,105,1분28초
37,2,합정,6호선,82,1분8초
38,2,홍대입구,공항철도,355,4분56초
39,2,홍대입구,경의중앙선,305,4분14초
40,2,충정로,5호선,212,2분57초
41,2,신설동,1호선,159,2분13초
42,2,신설동,우이신설선,273,3분48초
43,3,종로3가,1호선,118,1분38초
44,3,종로3가,5호선,117,1분38초
45,3,을지로3가,2호선,149,2분4초
46,3,교대,2호선,75,1분3초
47,3,양재,신분당선,93,1분18초
48,3,연신내,6호선,181,2분31초
49,3,불광,6호선,100,1분23초
50,3,충무로,4호선,17,0분14초
51,3,약수,6호선,130,1분48초
52,3,옥수,경의중앙선,155,2분9초
53,3,신사,신분당선,,
54,3,고속터미널,7호선,169,2분21초
55,3,고속터미널,9호선,155,2분9초
56,3,도곡,수인분당선,78,1분5초
57,3,수서,국철,92,1분17초
58,3,가락시장,8호선,35,0분29초
59,3,오금,5호선,65,0분54초
60,4,서울역,1호선,159,2분13초
61,4,서울역,공항철도,224,3분7초
62,4,서울역,경의중앙선,323,4분29초
63,4,동대문,1호선,194,2분42초
64,4,동대문역사문화공원,2호선,45,0분38초
65,4,동대문역사문화공원,5호선,107,1분29초
66,4,사당,2호선,74,1분2초
67,4,충무로,3호선,17,0분14초
68,4,노원,7호선,278,3분52초
69,4,창동,1호선,84,1분10초
70,4,성신여대입구,우이신설선,7,0분6초
71,4,이촌,경의중앙선,78,1분5초
72,4,삼각지,6호선,155,2분9초
73,4,동작,9호선,245,3분24초
74,4,총신대입구,7호선,171,2분23초
75,5,김포공항,공항철도,122,1분42초
76,5,김포공항,9호선,106,1분28초
77,5,김포공항,김포골드라인,200,2분47초
78,5,까치산,2호선,17,0분14초
79,5,영등포구청,2호선,110,1분32초
80,5,신길,1호선,242,3분22초
81,5,여의도,9호선,68,0분57초
82,5,공덕,6호선,73,1분1초
83,5,공덕,공항철도,275,3분49초
84,5,공덕,경의중앙선,214,2분58초
85,5,충정로,2호선,212,2분57초
86,5,종로3가,1호선,312,4분20초
87,5,종로3가,3호선,117,1분38초
88,5,을지로4가,2호선,77,1분4초
89,5,동대문역사문화공원,2호선,234,3분15초
90,5,동대문역사문화공원,4호선,107,1분29초
91,5,청구,6호선,104,1분27초
92,5,왕십리,2호선,86,1분12초
93,5,왕십리,경의중앙선,198,2분45초
94,5,왕십리,수인분당선,244,3분23초
95,5,군자,7호선,75,1분3초
96,5,천호,8호선,35,0분29초
97,5,강동,5호선,19,0분16초
98,5,올림픽공원,9호선,93,1분18초
99,5,오금,3호선,65,0분54초
100,6,신내,경춘선,50,0분42초
101,6,태릉입구,7호선,46,0분38초
102,6,석계,경원선,125,1분44초
103,6,동묘앞,1호선,96,1분20초
104,6,신당,2호선,242,3분22초
105,6,보문,우이신설선,87,1분13초
106,6,청구,5호선,104,1분27초
107,6,약수,3호선,130,1분48초
108,6,삼각지,4호선,155,2분9초
109,6,효창공원앞,경의중앙선,110,1분32초
110,6,공덕,5호선,73,1분1초
111,6,공덕,공항철도,265,3분41초
112,6,공덕,경의중앙선,152,2분7초
113,6,합정,2호선,82,1분8초
114,6,디지털미디어시티,경의중앙선,55,0분46초
115,6,디지털미디어시티,공항철도,186,2분35초
116,6,불광,3호선,100,1분23초
117,6,연신내,3호선,181,2분31초
118,7,도봉산,1호선,44,0분37초
119,7,노원,4호선,278,3분52초
120,7,태릉입구,6호선,46,0분38초
121,7,상봉,경의중앙선,100,1분23초
122,7,상봉,경춘선,100,1분23초
123,7,군자,5호선,75,1분3초
124,7,건대입구,2호선,77,1분4초
125,7,강남구청,수인분당선,125,1분44초
126,7,고속터미널,3호선,169,2분21초
127,7,고속터미널,9호선,314,4분22초
128,7,이수,4호선,171,2분23초
129,7,대림,2호선,276,3분50초
130,7,가산디지털단지,1호선,110,1분32초
131,7,온수,1호선,102,1분25초
132,7,부평구청,인천1호선,41,0분34초
133,8,천호,5호선,35,0분29초
134,8,석촌,9호선,82,1분8초
135,8,잠실,2호선,190,2분38초
136,8,가락시장,3호선,35,0분29초
137,8,복정,수인분당선,16,0분13초
138,8,모란,수인분당선,99,1분23초
